antalUndervisningsdage,beskrivelse,duration,endDate,forudsaetninger,holdTitle,id,institution,kontaktMail,kontaktPerson,kontaktPersonTlfNummer,lokationGade,lokationPostNr,lokationSted,startDate,tilmeldingsFrist,undervisningsform,undervisningstidspunkt,aabent,aflyst,aktiGuid,currentParticipantAmount,flereKurser,garantiKursus,hjemmeside,kviknummer,minimumParticipants,normpris,participantCapacity,tillaegspris,tillaegsprisAarsag,tillaegsprisBegrundelse,ledigePladser,link
,"22906 - Sikkerhed v. asbestarbejde uden autorisationskrav
Målgruppe: 1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøvetagning, herunder materialeprøver og geltapeprøver
Beskrivelse: Deltageren kan arbejde sikkerheds- og sundhedsmæssigt fuldt forsvarligt med ethvert andet asbestarbejde end autorisationskrævende nedrivning af asbestholdigt materiale, som det er defineret og reguleret i bekendtgørelse om asbest i arbejdsmiljøet.
Deltageren har i den sammenhæng erhvervet sig",2,2026-11-03,,Sikkerhed v. asbestarbejde uden autorisationskrav,878389,AMU SYD,ckl@amusyd.dk,Carina Kjær Lillelund,76373744,C.F. Tietgens Vej 6,6000,Kolding,2026-11-02,2026-10-29,Dagundervisning,08:00-15:24,False,False,3C66F56816334BE29145E1BD3CFB9801,2,False,False,www.amusyd.dk,6214072290626011,10,436,20,,,,18,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=6214072290626011
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation",2,2026-11-04,,Sikkerhed v. asbestarbejde uden autorisationskrav,877940,EUC Sjælland,bero@eucsj.dk,Berit Roholte,25235764,Campusbuen 31,4600,Køge,2026-11-03,2026-10-27,Dagundervisning,08:00 - 15:24,False,False,02F2E0CD32454E1D91A17AE9500F0ED5,0,False,False,https://eucsj.dk,373401a26922290645,8,436,12,,,,12,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=373401a26922290645
,,2,2026-11-04,,Sikkerhed v. asbestarbejde uden autorisationskrav,880493,Rybners,mhjo@rybners.dk,Maja Holden Juhl Poulsen,76133373,Spangsbjerg Møllevej 72,6700,Esbjerg,2026-11-03,2026-11-02,Dagundervisning,08:00- 15:25,False,False,48e83447530046fbb1537e6c41cfd661,0,False,False,http:\\www.rybners.dk,280560ABY26222906CM2,13,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=280560ABY26222906CM2
,"Sikkerhed v. asbestarbejde uden autorisationskrav

- HEG
Østre Boulevard 10
9600 Aars",2,2026-11-06,,Sikkerhed v. asbest arb.uden autorisationskrav HEG,884945,EUC Nord,anth@eucnord.dk,Anette Thomsen,72246046,Østre Boulevard 10,9600,Aars,2026-11-05,2026-10-14,Dagundervisning,08:00-15:25,False,False,1be02e9f7e7540c8a732408a558ea835,0,False,False,eucnord.dk,821409QH26-22906-03,10,436,24,,,,24,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=821409QH26-22906-03
,,2,2026-11-10,,Sikkerhed v. asbestarbejde uden autorisationskrav,882337,AMU Nordjylland,tih@amunordjylland.dk,Tina Højgaard,96332215,"Sofievej 61, Vejgaard",9000,Aalborg,2026-11-09,2026-11-09,Dagundervisning,08:00 - 15:25,False,False,ED38242A29FA46CFBC51F0533A704C91,2,False,True,https://www.amunordjylland.dk,85142040229066t146,5,436,20,,,,18,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=85142040229066t146
,"Fag kan være prøvebelagt. Underviser oplyser tidspunkt for afholdelse ved kursusstart. Prøven foregår som udgangspunkt på fagets sidste dag.
Har du læse-/skrive udfordringer? 
Er du ordblind og har brug for læse-/skrivestøtte, eller har du brug for at få vurderet dine basale færdigheder i læsning, skrivning, regning og matematik, så ring til kursussekretæren snarest muligt inden kursusstart.",2,2026-11-10,,Sikkerhed v. asbestarbejde uden autorisationskrav,857525,ZBC - Zealand Business College,jpe@zbc.dk,Julie Linea Petersen,31935663,Maglegårdsvej 8,4000,Roskilde,2026-11-09,2026-11-08,Dagundervisning,08:00-15:24,False,False,d9eedba28ef44eb697c4934a859eb10e,0,False,False,https://kurser.zbc.dk,2809415611am22906ro,8,436,30,,,,30,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2809415611am22906ro
,Sikkerhed v. asbestarbejde uden autorisationskrav,2,2026-11-12,,Sikkerhed v. asbestarbejde uden autorisationskrav,845113,AMU-Fyn,jap@amu-fyn.dk,Jasmina Petrovic,63135103,Petersmindevej 50,5000,Odense C,2026-11-11,2026-11-11,Dagundervisning,08:00 - 15:24,False,False,347C9A6E35544032AE308140DDCA3F84,0,False,False,https://www.amu-fyn.dk,461420b02290612609,10,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=461420b02290612609
,"Sikkerhed v. asbestarbejde uden 2026autorisationskrav

Kurset foregår ved

Bødehuset
Havnepladsen 2L
9940 Vesterø Havn
Læsø",2,2026-11-13,,Sikkerhed asbestarbejde u autorisationskrav LÆSØ,885028,EUC Nord,cha@eucnord.dk,Claus Harboe,72246015,Havnepladsen 2,9940,Læsø,2026-11-12,2026-11-05,Dagundervisning,kl. 08.00 - 15.30,False,False,ec249004a6744fc8a95c2075f87a4c3c,9,False,False,eucnord.dk,821409ty26-22906-12,8,436,16,,,,7,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=821409ty26-22906-12
,"Deltageren kan arbejde sikkerheds- og sundhedsmæssigt fuldt forsvarligt med ethvert andet asbestarbejde end autorisationskrævende nedrivning af asbestholdigt materiale, som det er defineret og reguleret i bekendtgørelse om asbest i arbejdsmiljøet.

Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation

Vi tager generelt forbehold for prisændringer grundet ministerielle indgreb.",2,2026-11-17,Medbring bærbar PC hvis muligt.,Sikkerhed v. asbestarbejde uden autorisationskrav,871624,Mercantec,ahpe@mercantec.dk,Ann Holm Otkjær,8950 3347,Håndværkervej 9,8800,Viborg,2026-11-16,2026-11-11,Dagundervisning,08:00 - 15:24,False,False,8de992b4022c4d80afb69ca7b5e08e61,17,False,False,www.mercantec.dk,281398BV2290601626,8,436,20,,,,3,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=281398BV2290601626
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation.
Deltageren kan arbejde med:
1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering 2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg 3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde 4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum 5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøve",2,2026-11-17,Ingen forudsætninger,Sikkerhed v. asbestarbejde uden autorisationskrav,889620,JUUL Danmark A/S,info@amujuul.dk,Kursusadministration,39 39 11 11,Roedsvej 10,4300,Holbæk,2026-11-16,2026-11-15,Dagundervisning,08:00 - 15:24,False,False,B2FC38EF3D1A42F7B1CB79297868BB65,0,False,True,https://www.amujuul.dk,26541423086,1,436,6,,,,6,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=26541423086
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation",2,2026-11-19,,Sikkerhed v. asbestarbejde uden autorisationskrav,877941,EUC Sjælland,bero@eucsj.dk,Berit Roholte,25235764,Malervænget 4,4700,Næstved,2026-11-18,2026-11-11,Dagundervisning,08:00 - 15:24,False,False,29318BDE09604D8581CD7FAA6678C84E,0,False,False,https://eucsj.dk,373401a26922290647,8,436,12,,,,12,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=373401a26922290647
,"22906 - Sikkerhed v. asbestarbejde uden autorisationskrav
Målgruppe: 1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøvetagning, herunder materialeprøver og geltapeprøver
Beskrivelse: Deltageren kan arbejde sikkerheds- og sundhedsmæssigt fuldt forsvarligt med ethvert andet asbestarbejde end autorisationskrævende nedrivning af asbestholdigt materiale, som det er defineret og reguleret i bekendtgørelse om asbest i arbejdsmiljøet.
Deltageren har i den sammenhæng erhvervet sig",2,2026-11-24,,Sikkerhed v. asbestarbejde uden autorisationskrav,878391,AMU SYD,ckl@amusyd.dk,Carina Kjær Lillelund,76373744,C.F. Tietgens Vej 6,6000,Kolding,2026-11-23,2026-11-19,Dagundervisning,08:00-15:24,False,False,768E17E1E8404603B7150125C78D9B6F,0,False,False,www.amusyd.dk,6214072290626012,10,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=6214072290626012
,"1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering 2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg 3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde 4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum 5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøvetagning, herunder materialeprøver og geltapeprøver.
",2,2026-11-24,Ingen forudsætninger,Sikkerhed v. asbestarbejde uden autorisationskrav,890002,JUUL Danmark A/S,info@amujuul.dk,Kursusadministration,39 39 11 11,Hovedakslen 10,4760,Vordingborg,2026-11-23,2026-11-22,Dagundervisning,08:00 - 15:24,False,False,82EED570F71742DC9A56CBA48197F733,0,False,True,https://www.amujuul.dk,26541423094,1,436,6,,,,6,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=26541423094
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation.
Deltageren kan arbejde med:
1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering 2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg 3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde 4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum 5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøve",2,2026-11-25,Ingen forudsætninger,Sikkerhed v. asbestarbejde uden autorisationskrav,889458,JUUL Danmark A/S,info@amujuul.dk,Kursusadministration,39 39 11 11,Abildgårdsvej 14,4000,Roskilde,2026-11-24,2026-11-23,Dagundervisning,08:00 - 15:24,False,False,63E7F13B72C047E7830E33D2C1559E1C,0,False,True,https://www.amujuul.dk,26541423071,1,436,6,,,,6,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=26541423071
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation.
Deltageren kan arbejde med:
1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering 2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg 3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde 4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum 5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøve",2,2026-12-01,Ingen forudsætninger,Sikkerhed v. asbestarbejde uden autorisationskrav,889461,JUUL Danmark A/S,info@amujuul.dk,Kursusadministration,39 39 11 11,Marielundvej 48,2730,Herlev,2026-11-30,2026-11-29,Dagundervisning,08:00 - 15:24,False,False,F459D174E4A8461B92E7F20E8EBEE3F1,0,False,True,https://www.amujuul.dk,26541423076,1,436,6,,,,6,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=26541423076
,,2,2026-12-01,,Sikkerhed v. asbestarbejde uden autorisationskrav,837174,TECHCOLLEGE,gira@techcollege.dk,Gitte F. Rasmussen,72505271,Øster Uttrup Vej 1,9000,Aalborg,2026-11-30,2026-11-23,Dagundervisning,08:15 - 15:40,False,False,E7124D8D70B249AFB5A4F3B58692E191,0,False,False,https://techcollege.dk,851401abe301126,10,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=851401abe301126
,,2,2026-12-02,,Sikkerhed v. asbestarbejde uden autorisationskrav,880494,Rybners,mhjo@rybners.dk,Maja Holden Juhl Poulsen,76133373,Spangsbjerg Møllevej 72,6700,Esbjerg,2026-12-01,2026-11-30,Dagundervisning,08:00- 15:25,False,False,8e845701d2c346d39e3208c6ac5f15bb,0,False,False,http:\\www.rybners.dk,280560ABY26222906DM2,13,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=280560ABY26222906DM2
,Sikkerhed v. asbestarbejde uden autorisationskrav,2,2026-12-02,,Sikkerhed v. asbestarbejde uden autorisationskrav,874805,Roskilde Tekniske Skole,rts@rts.dk,Christina Jensen,46300400,Ledreborg Allé 42,4000,Roskilde,2026-12-01,2026-11-25,Dagundervisning,08:00-15:24,False,False,6A9C03D52A8A4CC8A665CA46FD0FBCF0,0,False,False,www.rts.dk,2654168241126baa49,1,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2654168241126baa49
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation",2,2026-12-02,,Sikkerhed v. asbestarbejde uden autorisationskrav,877942,EUC Sjælland,bero@eucsj.dk,Berit Roholte,25235764,Campusbuen 31,4600,Køge,2026-12-01,2026-11-24,Dagundervisning,08:00 - 15:24,False,False,060315A9C2D540F298E340EE40E22CB9,0,False,False,https://eucsj.dk,373401a26922290649,8,436,12,,,,12,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=373401a26922290649
,"Fag kan være prøvebelagt. 
Underviser oplyser tidspunkt for afholdelse ved kursusstart. Prøven foregår som udgangspunkt på fagets sidste dag.

Har du læse-/skrive udfordringer? 
Er du ordblind og har brug for læse-/skrivestøtte, eller har du brug for at få vurderet dine basale færdigheder i læsning, skrivning, regning og matematik, så ring til kursussekretæren snarest muligt inden kursusstart.",2,2026-12-03,,Sikkerhed v. asbestarbejde uden autorisationskrav,855230,ZBC - Zealand Business College,chr@zbc.dk,Christina Trøstrup Christensen,28442249,Willemoesvej 4,4200,Slagelse,2026-12-02,2026-11-18,Dagundervisning,07:30-14:54,False,False,4455d141adbb418bae8a8ddcedbc206a,0,False,False,https://kurser.zbc.dk,2809416612am22906a,5,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2809416612am22906a
,"Vær opmærksom på, at kurset afholdes på engelsk
Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation",2,2026-12-04,"Vær opmærksom på, at kurset afholdes på engelsk",Sikkerhed v.asbestarb.uden autorisation - Engelsk ,877930,EUC Sjælland,bero@eucsj.dk,Berit Roholte,25235764,Malervænget 4,4700,Næstved,2026-12-03,2026-11-26,Dagundervisning,08:00 - 15:24,False,False,AC27A37C513A4F58AA4AD0EAE7BD079D,0,False,False,https://eucsj.dk,373401a26922290699,8,436,14,,,,14,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=373401a26922290699
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation.
Deltageren kan arbejde med:
1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering 2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg 3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde 4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum 5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøve",2,2026-12-08,Ingen forudsætninger,Sikkerhed v. asbestarbejde uden autorisationskrav,889459,JUUL Danmark A/S,info@amujuul.dk,Kursusadministration,39 39 11 11,Abildgårdsvej 14,4000,Roskilde,2026-12-07,2026-12-06,Dagundervisning,08:00 - 15:24,False,False,41C1571598BA4FE8A0D7E1023A0AE7D6,0,False,True,https://www.amujuul.dk,26541423072,1,436,6,,,,6,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=26541423072
,"22906 - Sikkerhed v. asbestarbejde uden autorisationskrav
Målgruppe: 1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøvetagning, herunder materialeprøver og geltapeprøver
Beskrivelse: Deltageren kan arbejde sikkerheds- og sundhedsmæssigt fuldt forsvarligt med ethvert andet asbestarbejde end autorisationskrævende nedrivning af asbestholdigt materiale, som det er defineret og reguleret i bekendtgørelse om asbest i arbejdsmiljøet.
Deltageren har i den sammenhæng erhvervet sig",2,2026-12-08,,Sikkerhed v. asbestarbejde uden autorisationskrav,878393,AMU SYD,ckl@amusyd.dk,Carina Kjær Lillelund,76373744,C.F. Tietgens Vej 6,6000,Kolding,2026-12-07,2026-12-03,Dagundervisning,08:00-15:24,False,False,5A3DAC2EB58A4F73B9F0D65A7CCE2814,0,False,False,www.amusyd.dk,6214072290626013,10,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=6214072290626013
,Sikkerhed v. asbestarbejde uden autorisationskrav,2,2026-12-08,,Sikkerhed v. asbestarbejde uden autorisationskrav,845110,AMU-Fyn,jap@amu-fyn.dk,Jasmina Petrovic,63135103,Petersmindevej 50,5000,Odense C,2026-12-07,2026-12-07,Dagundervisning,08:00 - 15:24,False,False,AAF0B28750BD4109A136EC5B3A5E5282,1,False,False,https://www.amu-fyn.dk,461420b02290612608,10,436,20,,,,19,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=461420b02290612608
,Sikkerhed v. asbestarbejde uden autorisationskrav,2,2026-12-09,,Sikkerhed v. asbestarbejde uden autorisationskrav,874821,Roskilde Tekniske Skole,rts@rts.dk,Christina Jensen,46300400,Ledreborg Allé 42,4000,Roskilde,2026-12-08,2026-12-01,Dagundervisning,08:00-15:24,False,False,7D3AF8ABFBB74EA29FE295D556A56E51,0,False,False,www.rts.dk,2654168241126ba50a,1,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2654168241126ba50a
,"Fag kan være prøvebelagt. 
Underviser oplyser tidspunkt for afholdelse ved kursusstart. Prøven foregår som udgangspunkt på fagets sidste dag.

Har du læse-/skrive udfordringer? 
Er du ordblind og har brug for læse-/skrivestøtte, eller har du brug for at få vurderet dine basale færdigheder i læsning, skrivning, regning og matematik, så ring til kursussekretæren snarest muligt inden kursusstart.",2,2026-12-10,,Sikkerhed v. asbestarbejde uden autorisationskrav,855234,ZBC - Zealand Business College,chr@zbc.dk,Christina Trøstrup Christensen,28442249,Willemoesvej 4,4200,Slagelse,2026-12-09,2026-11-25,Dagundervisning,07:30-14:54,False,False,e9eea7d56fe847a9aa1c5f34b9c34cd1,0,False,False,https://kurser.zbc.dk,2809416612am22906b,5,436,20,,,,20,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2809416612am22906b
,"Fag kan være prøvebelagt. Underviser oplyser tidspunkt for afholdelse ved kursusstart. Prøven foregår som udgangspunkt på fagets sidste dag.
Har du læse-/skrive udfordringer? 
Er du ordblind og har brug for læse-/skrivestøtte, eller har du brug for at få vurderet dine basale færdigheder i læsning, skrivning, regning og matematik, så ring til kursussekretæren snarest muligt inden kursusstart.",2,2026-12-15,,Sikkerhed v. asbestarbejde uden autorisationskrav,857526,ZBC - Zealand Business College,jpe@zbc.dk,Julie Linea Petersen,31935663,Maglegårdsvej 8,4000,Roskilde,2026-12-14,2026-12-06,Dagundervisning,08:00-15:24,False,False,13957bf141c640898e55073695f65ab3,0,False,False,https://kurser.zbc.dk,2809415612am22906ro,8,436,30,,,,30,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2809415612am22906ro
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation.
Deltageren kan arbejde med:
1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering 2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg 3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde 4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum 5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøve",2,2026-12-15,Ingen forudsætninger,Sikkerhed v. asbestarbejde uden autorisationskrav,889621,JUUL Danmark A/S,info@amujuul.dk,Kursusadministration,39 39 11 11,Roedsvej 10,4300,Holbæk,2026-12-14,2026-12-13,Dagundervisning,08:00 - 15:24,False,False,C5277E397AD54BD99DDB3E8661C0AE89,0,False,True,https://www.amujuul.dk,26541423087,1,436,6,,,,6,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=26541423087
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation.",2,2026-12-15,,Sikkerhed v. asbestarbejde uden autorisationskrav,890151,NEXT UDDANNELSE KØBENHAVN,kursus@nextkbh.dk,NEXT Kursusservice,33880900,Fabriksparken 31,2600,Glostrup,2026-12-14,2026-12-08,Dagundervisning,08:00 til 15:24,False,False,1e4d9890bd244389a2b068eb4d3bb367,0,False,False,https://nextkbh.dk,28072706aå5112906g,8,436,22,,,,22,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=28072706aå5112906g
